storedpower,Stored Power," + 20 power for each of the user's stat boosts.",辅助力量,用蓄积起来的力量攻击对手。自己的能力提高得越多，威力就越大。,Poder Reserva,El poder base del movimiento aumenta cuantos más modificadores positivos de stats tiene el usuario.
stormthrow,Storm Throw,Always results in a critical hit.,山岚摔,向对手使出强烈的一击。攻击必定会击中要害。,Llave Corsé,Siempre provoca un Golpe Crítico salvo que una habilidad o efecto lo impida.
strangesteam,Strange Steam,20% chance to confuse the target.,神奇蒸汽,喷出烟雾攻击对手。20%几率使对手混乱。,Strange Steam,20% chance to confuse the target.
strength,Strength,No additional effect.,怪力,使出浑身力气殴打对手进行攻击。,Fuerza,Ninguno.
strengthsap,Strength Sap,User heals HP=target's Atk stat. Lowers Atk by 1.,吸取力量,给自己回复和对手攻击力相同数值的ＨＰ，然后降低对手的攻击1级。,Absorbefuerza,100% de reducir un nivel el Ataque al rival. El usuario recupera PS equivalente al Ataque del Pokémon objetivo antes de dicha reducción.
stringshot,String Shot,Lowers the foe(s) Speed by 2.,吐丝,用口中吐出的丝缠绕对手，从而低对手的速度2级。,Disparo Demora,Baja un nivel la Velocidad al rival.
struggle,Struggle,User loses 1/4 of its max HP.,挣扎,当自己的ＰＰ耗尽时，努力挣扎攻击对手。自己也会损失最大HP的1/4。,Forcejeo,Puede ser usado ilimitadas veces por cualquier Pokémon que haya agotado los PP de todos sus movimientos o no los pueda usar. Causa daño de retroceso del 25% del PS máx.
strugglebug,Struggle Bug,100% chance to lower the foe(s) Sp. Atk by 1.,虫之抵抗,抵抗并攻击对手。100%几率降低对手的特攻1级。,Estoicismo,100% de reducir un nivel el Ataque Especial al rival.
stuffcheeks,Stuff Cheeks,"Must hold Berry to use. User eats Berry, Def +2.",大快朵颐,吃掉携带的树果，并提高自身防御2级。,Stuff Cheeks,"Must hold Berry to use. User eats Berry, Def +2."
stunspore,Stun Spore,Paralyzes the target.,麻痹粉,撒出麻痹粉，从而让对手陷入麻痹状态。,Paralizador,Provoca Parálisis.
submission,Submission,Has 1/4 recoil.,地狱翻滚,将对手连同自己一起摔向地面进行攻击。自己也会受到1/4的伤害。,Sumisión,Provoca un daño de retroceso del 25% del daño provocado al Pokémon rival.
substitute,Substitute,User takes 1/4 its max HP to put in a substitute.,替身,削减自己最大HP的1/4，制造分身。分身将成为自己的替身。,Sustituto,Crea un Sustituto con el 25% del PS máximo del usuario.
subzeroslammer,Subzero Slammer,Power is equal to the base move's Z-Power.,激狂大地万里冰,通过Ｚ力量急剧降低气温，全力冰冻对手。威力会根据原来的招式而改变。,Crioaliento Despiadado,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
suckerpunch,Sucker Punch,Usually goes first. Fails if target is not attacking.,突袭,可以比对手先攻击。对手使出的招式如果不是攻击招式则会失败。,Golpe Bajo,"Golpea primero, pero falla si el rival no va a usar un movimiento de daño directo. Falla también si el rival golpea antes."
sunnyday,Sunny Day,"For 5 turns, intense sunlight powers Fire moves.",大晴天,在５回合内阳光变得强烈，从而提高火属性的招式威力。水属性的招式威力则降低。,Día Soleado,Provoca Día Soleado.
sunsteelstrike,Sunsteel Strike,Ignores the Abilities of other Pokemon.,流星闪冲,以流星般的气势猛撞对手，可无视对手的特性并进行攻击。,Meteoimpacto,Ignora las habilidades de los Pokémon en juego.
superfang,Super Fang,Does damage equal to 1/2 target's current HP.,愤怒门牙,用锋利的门牙猛烈地咬住对手进行攻击。对手的ＨＰ减半。,Superdiente,Causa un daño equivalente a la mitad del PS que le queda al Pokémon rival.
superpower,Superpower,Lowers the user's Attack and Defense by 1.,蛮力,发挥惊人的力量攻击对手。自己的攻击和防御都会降低1级。,Fuerza Bruta,Baja un nivel el Ataque y la Defensa al usuario.
supersonic,Supersonic,Causes the target to become confused.,超音波,从身体发出特殊的音波，从而使对手混乱。,Supersónico,Provoca Confusión.
supersonicskystrike,Supersonic Skystrike,Power is equal to the base move's Z-Power.,极速俯冲轰烈撞,通过Ｚ力量猛烈地飞向天空，朝对手全力落下。威力会根据原来的招式而改变。,Picado Supersónico,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
surf,Surf,Hits adjacent Pokemon. Double damage on Dive.,冲浪,利用大浪攻击自己周围所有的宝可梦。,Surf,El poder base se duplica si el rival está bajo el agua preparando un Buceo.
surgingstrikes,Surging Strikes,Always results in a critical hit. Hits 3 times.,水流连打,将水之流派修炼至大成的仿若行云流水般的３次连击。必定会击中要害。,Surging Strikes,Always results in a critical hit. Hits 3 times.
swagger,Swagger,Raises the target's Attack by 2 and confuses it.,虚张声势,激怒对手，使其混乱。因为愤怒，对手的攻击会提高2级。,Contoneo,Provoca Confusión. Aumenta dos niveles el Ataque al rival.
swallow,Swallow,Heals the user based on uses of Stockpile.,吞下,将积蓄的力量吞下，从而回复自己的ＨＰ。积蓄得越多，回复越大。,Tragar,"El usuario recupera PS según sus contadores de Reserva: 25% PS con uno, 50% PS con dos, 100% PS con tres. Resetea los contadores y con ello la mejora en defensas."
sweetkiss,Sweet Kiss,Causes the target to become confused.,天使之吻,像天使般可爱地亲吻对手，从而使对手混乱。,Beso Dulce,Provoca Confusión.
sweetscent,Sweet Scent,Lowers the foe(s) evasiveness by 2.,甜甜香气,用香气降低对手的闪避率2级。,Dulce Aroma,Baja un nivel la Evasión al rival.
swift,Swift,This move does not check accuracy. Hits foes.,高速星星,发射星形的光攻击对手。攻击必定会命中。,Rapidez,Siempre golpea.
switcheroo,Switcheroo,User switches its held item with the target's.,掉包,用一闪而过的速度交换自己和对手的持有物。,Trapicheo,El usuario y el rival intercambian sus objetos durante el resto de la batalla. No funciona contra Pokémon con la habilidad Viscosidad.
swordsdance,Swords Dance,Raises the user's Attack by 2.,剑舞,激烈地跳起战舞提高气势。提高自己的攻击2级。,Danza Espada,Aumenta dos niveles el Ataque al usuario.
synchronoise,Synchronoise,Hits adjacent Pokemon sharing the user's type.,同步干扰,用神奇电波对周围所有和自己属性相同的宝可梦给予伤害。,Sincrorruido,Golpea a todos los Pokémon que compartan un tipo con el usuario.
synthesis,Synthesis,Heals the user by a weather-dependent amount.,光合作用,回复自己的ＨＰ。根据天气的不同，回复量也会有所变化。,Síntesis,"El usuario recupera 66.6% PS en Día Soleado, 50% PS si no hay clima, y 25% en Llovizna, Granizo o Tormenta de Arena."
tackle,Tackle,No additional effect.,撞击,用整个身体撞向对手进行攻击。,Placaje,Ninguno.
tailglow,Tail Glow,Raises the user's Sp. Atk by 3.,萤火,凝视闪烁的光芒，集中自己的精神，从而提高特攻3级。,Ráfaga,Aumenta tres niveles el Ataque Especial al usuario.
tailslap,Tail Slap,Hits 2-5 times in one turn.,扫尾追打,用坚硬的尾巴拍打对手进行攻击。连续攻击２～５次。,Plumerazo,Golpea de 2 a 5 veces seguidas.
tailwhip,Tail Whip,Lowers the foe(s) Defense by 1.,摇尾巴,可爱地左右摇晃尾巴，诱使对手疏忽大意。100%几率降低对手的防御1级。,Látigo,Baja un nivel la Defensa al rival.
tailwind,Tailwind,"For 4 turns, allies' Speed is doubled.",顺风,刮起猛烈的旋风，在４回合内提高我方全员的速度。,Viento Afín,"Se duplica la Velocidad del equipo del usuario por 4 turnos, incluyendo el turno en que se usa este movimiento."
takedown,Take Down,Has 1/4 recoil.,猛撞,以惊人的气势撞向对手进行攻击。自己也会受到1/4的伤害。,Derribo,Provoca un daño de retroceso del 25% del daño provocado al Pokémon rival.
tarshot,Tar Shot,Target gets -1 Spe and becomes weaker to Fire.,沥青射击,泼洒黏糊糊的沥青，降低对手的速度1级，并且使对手的弱点变为火。,Tar Shot,Target gets -1 Spe and becomes weaker to Fire.
taunt,Taunt,Target can't use status moves its next 3 turns.,挑衅,使对手愤怒。在３回合内让对手只能使出给予伤害的招式。,Mofa,El rival no puede utilizar movimientos que no causen daño durante los próximos 3 turnos.
tearfullook,Tearful Look,Lowers the target's Attack and Sp. Atk by 1.,泪眼汪汪,变得泪眼汪汪，让对手丧失斗志。从而降低对手的攻击和特攻各1级。,Ojos Llorosos,Baja un nivel el Ataque y el Ataque Especial al rival.
teatime,Teatime,All active Pokemon consume held Berries.,茶会,举办一场茶会，场上的所有宝可梦都会吃掉自己携带的树果。,Teatime,All active Pokemon consume held Berries.
technoblast,Techno Blast,Type varies based on the held Drive.,高科技光炮,向对手放出光弹。属性会根据自己携带的卡带不同而改变。,Tecno Shock,El tipo del ataque depende de la ROM equipada.
tectonicrage,Tectonic Rage,Power is equal to the base move's Z-Power.,地隆啸天大终结,通过Ｚ力量潜入地里最深处，全力撞上对手。威力会根据原来的招式而改变。,Barrena Telúrica,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
teeterdance,Teeter Dance,Confuses adjacent Pokemon.,摇晃舞,摇摇晃晃地跳起舞蹈，让自己周围的宝可梦陷入混乱状态。,Danza Caos,Provoca Confusión al resto de Pokémon en batalla.
telekinesis,Telekinesis,"For 3 turns, target floats but moves can't miss it.",意念移物,利用超能力使对手浮起来。在３回合内攻击会变得容易打中对手。,Telequinesis,Hace levitar al Pokémon objetivo y reduce su Evasión durante 3 turnos. Falla si Gravedad está activado.
teleport,Teleport,User switches out.,瞬间移动,停止和野生宝可梦战斗并逃走。,Teletransporte,"Termina la batalla contra Pokémon salvajes, no tiene efecto en batalla contra entrenadores."
terrainpulse,Terrain Pulse,"User on terrain: power doubles, type varies.",大地波动,借助场地的力量进行攻击。视使出招式时场地状态不同，招式的属性和威力会有所变化。,Terrain Pulse,"User on terrain: power doubles, type varies."
thief,Thief,"If the user has no item, it steals the target's.",小偷,攻击的同时盗取道具。当自己携带道具时，不会去盗取。,Ladrón,"Toma el objeto del rival si no tiene nada equipado, incluso aunque el rival caiga debilitado a consecuencia del ataque."
thousandarrows,Thousand Arrows,Grounds adjacent foes. First hit neutral on Flying.,千箭齐发,可以击中浮在空中的宝可梦。空中的对手被击落后，会掉到地面。,Mil Flechas,"Golpea a Pokémon en mitad de un Vuelo, Bote o Caída Libre. Los Pokémon voladores o con Levitación pierden su inmunidad a Tierra."
thousandwaves,Thousand Waves,Hits adjacent foes. Prevents them from switching.,千波激荡,从地面掀起波浪进行攻击。被掀入波浪中的对手，将无法从战斗中逃走。,Mil Temblores,"El Pokémon rival permanece atrapado de 4 a 5 turnos, recibiendo un daño del 12.5% del PS cada turno."
thrash,Thrash,Lasts 2-3 turns. Confuses the user afterwards.,大闹一番,在２～３回合内，乱打一气地攻击对手。大闹一番后自己会陷入混乱。,Golpe,"El usuario golpea con este ataque durante 2 ó 3 turnos sin poder ser intercambiado, tras lo cual pasa a estar confundido."
throatchop,Throat Chop,"For 2 turns, the target cannot use sound moves.",地狱突刺,受到此招式攻击的对手，会因为地狱般的痛苦，在２回合内，变得无法使出声音类招式。,Golpe Mordaza,El Pokémon rival no puede usar movimientos de sonido durante 2 turnos.
thunder,Thunder,30% chance to paralyze. Can't miss in rain.,打雷,向对手劈下暴雷进行攻击。30%几率让对手陷入麻痹状态。,Trueno,"30% de paralizar al rival. Golpea a Pokémon en mitad de un Vuelo, Bote o Caída Libre. En Llovizna no falla. En Día Soleado tiene 50% de precisión."
thunderbolt,Thunderbolt,10% chance to paralyze the target.,十万伏特,向对手发出强力电击进行攻击。10%几率让对手陷入麻痹状态。,Rayo,10% de paralizar al rival.
thundercage,Thunder Cage,Traps and damages the target for 4-5 turns.,雷电囚笼,将对手困在电流四溅的囚笼中，在４～５回合内进行攻击。,Thunder Cage,Traps and damages the target for 4-5 turns.
thunderfang,Thunder Fang,10% chance to paralyze. 10% chance to flinch.,雷电牙,用蓄满电流的牙齿咬住对手。10%几率使对手畏缩或陷入麻痹状态。,Colmillo Rayo,10% de paralizar al rival y 10% de hacer retroceder al rival. Ambos efectos son independientes y pueden ocurrir a la vez.
thunderouskick,Thunderous Kick,100% chance to lower the target's Defense by 1.,雷鸣蹴击,以雷电般的动作戏耍对手的同时使出脚踢。可降低对手的防御1级。,Thunderous Kick,100% chance to lower the target's Defense by 1.
thunderpunch,Thunder Punch,10% chance to paralyze the target.,雷电拳,用充满电流的拳头攻击对手。10%几率让对手陷入麻痹状态。,Puño Trueno,10% de paralizar al rival.
